981_z_zhaojun.java;0;171_Gaurav_8.java;100.0;
2162_Hccct.java;1;1698_han-55.java;100.0;
658_ikangaroo.java;2;542_gorgeous-74.java;100.0;3;1537_frankkkkk.java;96.8;
681_Siddhant_Khare.java;4;406_camelcc.java;100.0;
1022_meng-ren-zi.java;5;1000_mengrenzi.java;100.0;
952_zhun.java;6;2093_qzhang0.java;99.1;
167_henryzbw.java;7;471_abhilashv.java;98.9;8;1330_viveksmenon87.java;97.8;
1508_xplayer9.java;9;1922_fengbuyu.java;98.8;10;930_fang2018.java;93.9;
602_stjiao13.java;11;1143_terryjiao.java;97.9;12;939_tianxind.java;94.9;
2322_WilMol.java;13;1628_liang.java;97.5;
2168_hfuwu5.java;14;2006_andrew-111.java;97.2;
1976_sriharsha1711.java;15;1473_Charles095.java;97.1;
542_gorgeous-74.java;16;1537_frankkkkk.java;96.8;
158_hum.java;17;1461_zhengpangpang.java;96.4;18;1971_Makarand.java;95.5;
1933_meowpie.java;19;132_Centurion7.java;95.9;
697_waynelee-3.java;20;515_weiyx15.java;94.7;
1971_Makarand.java;21;1461_zhengpangpang.java;94.0;
1502_smartyvibhuse.java;22;1237_vrmhimani1.java;93.9;
2113_Neil3d2y.java;23;1823_YoungYang0820.java;93.8;
962_nnnightingale.java;24;597_Krishna89.java;93.3;
939_tianxind.java;25;1143_terryjiao.java;93.0;
930_fang2018.java;26;1922_fengbuyu.java;92.8;
984_Ruian.java;27;1384_gjj930923.java;92.3;
1381_fuxiao224.java;28;2061_PuerSun.java;92.1;29;718_pkm2019.java;91.8;
